Name,Median price,Quarterly growth,12-month growth,Average Annual Growth,Weekly median advertised rent,Number of sales,Gross rental yield,Days on market
GREEN POINT,"$435,000",-3.01%,10.13%,5.80%,$450,15,5.38%,N/A
GREEN POINT,"$730,000",0.00%,0.69%,5.29%,$570,85,4.06%,64.94
GREEN VALLEY,"$720,000",0.00%,-2.70%,6.25%,$470,63,3.39%,58.1333333333333
GREENACRE,"$910,000",-0.27%,0.00%,7.31%,$550,208,3.14%,57.3661971830986
GREENDALE,,,,,,,,
GREENDALE,,,,,,,,
GREENETHORPE,,,,,,,,
GREENFIELD PARK,"$770,000",0.00%,-3.14%,6.57%,$430,35,2.90%,N/A
GREENHILL,"$357,000",11.56%,43.37%,15.10%,N/A,10,N/A,N/A
GREENLANDS,,,,,,,,
GREENLANDS,,,,,,,,
GREENLEIGH,"$894,975",N/A,N/A,N/A,N/A,11,N/A,N/A
GREENWELL POINT,"$543,750",-12.65%,17.57%,6.28%,$300,30,2.87%,124.294117647059
GREENWICH,"$2,820,000",1.26%,5.42%,6.07%,"$1,100",48,2.03%,55.1739130434783
GREGADOO,,,,,,,,
GREGORY HILLS,"$649,000",1.41%,-3.13%,12.83%,$500,209,4.01%,81.5809523809524
GREIGS FLAT,,,,,,,,
GRENFELL,"$240,000",0.00%,45.45%,8.60%,N/A,41,N/A,131.3
GRESFORD,"$327,500",N/A,N/A,N/A,N/A,10,N/A,N/A
GRETA,"$310,000",-2.36%,-18.42%,2.28%,$350,71,5.87%,71.2291666666667
GREVILLIA,,,,,,,,
GREYSTANES,"$830,000",3.54%,4.27%,6.56%,$500,235,3.13%,56.848275862069
GRIFFITH,"$375,000",-0.66%,6.23%,3.56%,$360,292,4.99%,69.2244897959184
GRIFFITH EAST,,,,,,,,
GROGAN,,,,,,,,
GRONG GRONG,,,,,,,,
GROSE VALE,"$1,160,000",0.65%,N/A,12.35%,N/A,15,N/A,100.25
GROSE WOLD,"$1,087,500",N/A,N/A,11.14%,N/A,10,N/A,N/A
GUERILLA BAY,,,,,,,,
GUILDFORD,"$762,500",2.01%,0.32%,7.07%,$450,132,3.07%,68.3777777777778
GUILDFORD WEST,"$750,000",0.00%,0.00%,6.62%,$455,57,3.15%,64.7241379310345
GULARGAMBONE,"$125,000",N/A,225.00%,50.61%,N/A,10,N/A,N/A
GULGONG,"$340,000",1.64%,7.94%,4.41%,$318,67,4.86%,137.970588235294
GULMARRAD,"$520,000",0.00%,4.52%,2.20%,$445,39,4.45%,94.625
GUM FLAT,,,,,,,,
GUM SCRUB,,,,,,,,
GUMLY GUMLY,"$465,000",N/A,N/A,N/A,N/A,11,N/A,N/A
GUMMA,"$597,500",N/A,N/A,N/A,N/A,10,N/A,N/A
GUNBAR,,,,,,,,
GUNDAGAI,"$225,000",-8.16%,-10.00%,5.50%,$290,28,6.70%,153.882352941176
GUNDAROO,"$772,500",-9.12%,-18.68%,3.81%,N/A,14,N/A,191
GUNDARY,,,,,,,,
GUNDERMAN,"$545,000",N/A,N/A,N/A,N/A,10,N/A,N/A
GUNDY,,,,,,,,
GUNGAL,,,,,,,,
GUNNEDAH,"$330,000",1.23%,3.77%,4.04%,$350,185,5.52%,102.430894308943
GUNNING,"$400,000",-4.76%,33.33%,6.69%,N/A,21,N/A,86.7333333333333
GUNNINGBLAND,,,,,,,,
GURLEY,,,,,,,,
GURRANANG,,,,,,,,
GUYRA,"$265,000",7.07%,12.77%,4.35%,$270,28,5.30%,99.1875
GWABEGAR,,,,,,,,
GWANDALAN,"$455,000",-3.19%,-9.90%,5.02%,$400,69,4.57%,81.5
GWYNNEVILLE,"$752,750",0.00%,-3.18%,5.69%,$500,16,3.45%,N/A
GYMEA,"$1,240,000",2.48%,18.10%,6.85%,$640,64,2.68%,61.9444444444445
GYMEA BAY,"$1,329,000",-1.56%,5.48%,5.38%,$773,61,3.02%,53.2777777777778
HABERFIELD,"$2,200,000",4.76%,19.57%,6.00%,$800,63,1.89%,42.7272727272727
HALEKULANI,"$480,000",2.13%,-2.04%,6.08%,$410,47,4.44%,65.7931034482759
HALFWAY CREEK,"$327,500",N/A,N/A,N/A,N/A,10,N/A,N/A
HALLIDAYS POINT,"$680,000",0.00%,N/A,12.17%,N/A,11,N/A,129.6
HALLORAN,,,,,,,,
HALLS CREEK,,,,,,,,
HALLSVILLE,"$378,000",N/A,N/A,16.41%,N/A,11,N/A,N/A
HAMILTON,"$720,000",-1.37%,-2.04%,6.49%,$485,63,3.50%,64.1794871794872
HAMILTON EAST,"$1,120,000",0.67%,-13.18%,7.39%,$600,17,2.79%,N/A
HAMILTON NORTH,"$680,000",7.51%,15.25%,7.29%,$460,15,3.52%,N/A
HAMILTON SOUTH,"$1,000,000",-1.48%,-4.81%,5.43%,$590,41,3.07%,60.2083333333333
HAMLYN TERRACE,"$615,000",1.49%,0.82%,4.96%,$490,179,4.14%,103.84375
HAMMONDVILLE,"$770,000",4.05%,10.00%,6.68%,$495,33,3.34%,53.7222222222222
HAMPTON,,,,,,,,
HANGING ROCK,,,,,,,,
HANNAM VALE,,,,,,,,
HANWOOD,"$320,000",-0.93%,N/A,6.95%,N/A,13,N/A,N/A
HARDEN,"$227,500",0.00%,22.97%,6.55%,$250,33,5.71%,112.9375
HARDYS BAY,"$1,224,000",N/A,N/A,N/A,N/A,10,N/A,N/A
HAREFIELD,,,,,,,,
HARGRAVES,"$420,000",-2.33%,N/A,N/A,N/A,10,N/A,N/A
HARRINGTON,"$499,500",-2.06%,1.94%,4.02%,$480,84,5.00%,115.507936507937
HARRINGTON PARK,"$960,000",4.98%,16.22%,6.84%,$550,192,2.98%,73.3795620437956
HARRIS PARK,"$915,000",-16.82%,N/A,3.03%,$480,12,2.73%,N/A
HARTLEY,"$905,000",N/A,N/A,N/A,N/A,12,N/A,N/A
HARTLEY VALE,,,,,,,,
HARWOOD,"$307,500",3.54%,-0.68%,-1.81%,$450,11,8.00%,N/A
HASSALL GROVE,"$613,500",0.25%,-3.39%,6.36%,$400,42,3.39%,48.8214285714286
HASTINGS POINT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAT HEAD,"$620,000",0.00%,13.27%,9.25%,N/A,18,N/A,N/A
HATFIELD,,,,,,,,
HAVILAH,,,,,,,,
HAWKESBURY HEIGHTS,"$630,000",N/A,N/A,5.92%,N/A,10,N/A,N/A
HAWKS NEST,"$577,500",-4.55%,3.13%,5.14%,$340,36,3.06%,100.285714285714
HAY,"$149,000",-0.33%,14.62%,6.96%,$205,49,7.15%,115.571428571429
HAYMARKET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAYWARDS BAY,"$800,000",0.00%,-2.44%,6.93%,N/A,23,N/A,105.333333333333
HAZELBROOK,"$597,000",-0.50%,-0.17%,6.46%,$425,79,3.70%,89.4489795918367
HAZELGROVE,,,,,,,,
HEATHCOTE,"$950,000",4.97%,7.95%,5.84%,$600,59,3.28%,49.5925925925926
HEATHERBRAE,"$233,500",N/A,N/A,N/A,N/A,10,N/A,N/A
HEBERSHAM,"$526,000",3.65%,1.06%,7.55%,$340,40,3.36%,60.4137931034483
HECKENBERG,"$675,000",16.68%,12.50%,9.24%,$395,15,3.04%,N/A
HEDDON GRETA,"$384,000",-3.40%,-10.70%,0.48%,$435,58,5.89%,77.6206896551724
HELENSBURGH,"$856,000",0.12%,0.12%,5.72%,$580,71,3.52%,49
HENLEY,"$2,987,500",N/A,N/A,N/A,N/A,10,N/A,N/A
HENTY,"$220,000",12.82%,N/A,N/A,N/A,28,N/A,89.4117647058824
HERMIDALE,,,,,,,,
HERNANI,,,,,,,,
HERONS CREEK,,,,,,,,
HEXHAM,"$244,500",1.84%,N/A,N/A,N/A,10,N/A,N/A
HICKEYS CREEK,"$75,000",N/A,N/A,N/A,N/A,10,N/A,N/A
HIGHFIELDS,"$650,000",1.56%,0.00%,8.42%,$438,10,3.50%,N/A
HILL END,,,,,,,,
HILL TOP,,,,,,,,
HILL TOP,"$550,000",0.00%,-7.56%,7.01%,$450,49,4.25%,84.4411764705882
HILLDALE,,,,,,,,
HILLGROVE,"$36,000",N/A,N/A,N/A,N/A,10,N/A,N/A
HILLSBOROUGH,"$500,000",-2.49%,-5.66%,-4.21%,N/A,11,N/A,N/A
HILLSBOROUGH,,,,,,,,
HILLSDALE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HILLSTON,"$125,000",4.17%,-27.54%,5.67%,$295,30,12.27%,N/A
HILLVILLE,,,,,,,,
HILLVUE,"$381,250",-2.87%,-3.48%,1.88%,$390,113,5.32%,130.935064935065
HINCHINBROOK,"$730,000",1.39%,8.63%,6.22%,$480,86,3.42%,51.3541666666667
HINTON,"$672,750",N/A,N/A,N/A,N/A,10,N/A,N/A
HOBARTVILLE,"$615,000",2.50%,-2.38%,6.53%,$395,42,3.34%,43.76
HOBBYS YARDS,,,,,,,,
HOLBROOK,"$208,000",12.43%,12.43%,2.90%,N/A,31,N/A,77.1666666666667
HOLGATE,"$1,485,000",0.71%,1.43%,6.46%,N/A,10,N/A,N/A
HOLMESVILLE,"$495,000",5.32%,4.21%,5.55%,$333,14,3.49%,40.2727272727273
HOLROYD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOLSWORTHY,"$825,000",3.64%,10.26%,7.39%,$500,39,3.15%,65.2
HOMEBUSH,"$1,865,000",10.29%,8.12%,11.32%,$620,15,1.73%,N/A
HOMEBUSH SOUTH,,,,,,,,
HOMEBUSH WEST,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOPKINS CREEK,,,,,,,,
HORNINGSEA PARK,"$735,000",-3.29%,-5.16%,5.39%,$530,38,3.75%,36.6666666666667
HORNSBY,"$1,250,000",7.02%,13.64%,7.46%,$590,93,2.45%,48.5428571428572
HORNSBY HEIGHTS,"$1,128,000",2.55%,9.25%,7.19%,$600,77,2.77%,44.6
HORSESHOE BEND,"$355,000",9.79%,N/A,-15.71%,N/A,11,N/A,N/A
HORSFIELD BAY,"$785,000",N/A,N/A,4.15%,$505,10,3.35%,N/A
HORSLEY,"$652,500",1.95%,1.40%,5.63%,$490,136,3.90%,55.3979591836735
HORSLEY PARK,"$2,590,000",7.92%,N/A,8.58%,$400,11,0.80%,N/A
HOSKINSTOWN,,,,,,,,
HOWES VALLEY,,,,,,,,
HOWLONG,"$282,000",-1.05%,0.71%,1.79%,$310,74,5.72%,89.1086956521739
HOXTON PARK,"$682,500",1.49%,-0.36%,5.82%,$500,39,3.81%,78.3333333333333
HUMULA,,,,,,,,
HUNTERS HILL,"$3,050,000",1.50%,14.23%,8.53%,"$1,000",100,1.70%,64.3928571428571
HUNTERVIEW,"$431,000",-2.60%,-0.35%,1.20%,$410,89,4.95%,102.912280701754
HUNTINGWOOD,,,,,,,,
HUNTLEY,,,,,,,,
HUNTLEY,,,,,,,,
HUNTLEYS COVE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUNTLEYS POINT,,,,,,,,
HUONBROOK,,,,,,,,
HURLSTONE PARK,"$1,520,000",3.05%,24.03%,8.38%,$610,27,2.09%,N/A
HURSTVILLE,"$1,427,500",0.54%,9.81%,6.78%,$580,107,2.11%,72.804347826087
HURSTVILLE GROVE,"$1,413,500",-0.53%,5.88%,5.84%,$645,26,2.37%,77.6363636363637
HURSTVILLE WESTFIELD,,,,,,,,
HUSKISSON,"$820,000",0.00%,-2.21%,7.77%,$420,16,2.66%,N/A
HYAMS BEACH,"$1,503,500",N/A,N/A,N/A,N/A,10,N/A,N/A
HYLAND PARK,"$420,000",-1.18%,21.74%,7.23%,N/A,11,N/A,N/A
ILARWILL,"$400,000",N/A,N/A,N/A,N/A,10,N/A,N/A
ILFORD,"$335,000",N/A,N/A,N/A,N/A,10,N/A,N/A
ILLABO,,,,,,,,
ILLAWONG,"$1,224,500",3.33%,3.99%,5.46%,$775,80,3.29%,78.325
ILUKA,"$520,000",6.12%,16.20%,3.72%,$400,45,4.00%,55.7307692307692
INGEBIRAH,,,,,,,,
INGLEBURN,"$650,000",0.78%,0.00%,7.04%,$415,146,3.32%,51.5882352941177
INGLESIDE,"$3,100,000",N/A,23.67%,18.41%,N/A,10,N/A,N/A
INVERELL,"$270,000",-1.46%,1.89%,2.69%,$310,176,5.97%,103.942857142857
INVERGOWRIE,"$425,000",10.39%,8.42%,-1.89%,N/A,17,N/A,96.3
IRVINGTON,,,,,,,,
ISABELLA,,,,,,,,
ISLINGTON,"$605,000",2.11%,-5.10%,7.77%,$445,34,3.82%,76.25
IVANHOE,"$16,500",N/A,N/A,N/A,N/A,10,N/A,N/A
JACKADGERY,,,,,,,,
JACKS CREEK,,,,,,,,
JAMBEROO,"$880,000",0.57%,6.67%,5.27%,$550,23,3.25%,115.0625
JAMES CREEK,,,,,,,,
JAMISONTOWN,"$655,000",0.77%,1.95%,6.19%,$435,51,3.45%,36.15625
JANNALI,"$1,110,000",9.36%,21.31%,8.05%,$580,49,2.72%,45.4444444444444
JASPERS BRUSH,"$1,145,000",N/A,N/A,N/A,N/A,10,N/A,N/A
JEMBAICUMBENE,,,,,,,,
JENNINGS,,,,,,,,
JEOGLA,,,,,,,,
JERANGLE,,,,,,,,
JEREMADRA,,,,,,,,
JERILDERIE,"$125,000",-7.41%,-16.67%,7.94%,N/A,23,N/A,N/A
JERRABOMBERRA,"$784,500",-4.21%,2.28%,2.57%,$640,141,4.24%,69.9895833333333
JERRARA,,,,,,,,
JERRAWA,,,,,,,,
JERRYS PLAINS,"$348,000",N/A,N/A,N/A,N/A,10,N/A,N/A
JERSEYVILLE,,,,,,,,
JESMOND,"$485,000",-2.51%,3.74%,4.38%,$390,26,4.18%,64.2631578947368
JEWELLS,"$635,000",0.00%,-2.31%,4.55%,$490,34,4.01%,56.5384615384615
JIGGI,"$640,000",0.00%,N/A,N/A,N/A,12,N/A,N/A
JILLIBY,"$1,205,000",-0.62%,N/A,4.18%,$600,33,2.59%,107.222222222222
JINDABYNE,"$773,250",9.06%,23.33%,8.25%,N/A,22,N/A,124.5
JINDERA,"$340,000",0.89%,3.66%,2.44%,$380,33,5.81%,93.6842105263158
JINGELLIC,,,,,,,,
JOHNS RIVER,"$371,500",-3.76%,N/A,-3.85%,N/A,10,N/A,N/A
JONES CREEK,,,,,,,,
JUDDS CREEK,,,,,,,,
JUGIONG,"$260,000",N/A,N/A,N/A,N/A,11,N/A,N/A
JUNCTION HILL,"$335,000",0.00%,-22.09%,2.66%,$420,29,6.52%,71.8823529411765
JUNEE,"$260,000",9.70%,5.26%,4.92%,$270,79,5.40%,130.720930232558
KAHIBAH,"$653,500",3.90%,-3.19%,5.70%,$440,25,3.50%,47.1333333333333
KALANG,"$730,000",N/A,N/A,N/A,N/A,10,N/A,N/A
KALARU,"$460,000",-20.83%,-22.56%,6.09%,N/A,16,N/A,N/A
KALKITE,"$428,750",-14.25%,-21.19%,-21.19%,$465,10,5.64%,N/A
KAMARAH,,,,,,,,
KANAHOOKA,"$570,000",-0.35%,-6.56%,5.49%,$470,84,4.29%,58.0461538461539
KANDOS,"$185,000",0.00%,-7.50%,6.00%,$248,27,6.96%,96.2727272727273
KANGALOON,"$1,575,000",N/A,N/A,N/A,N/A,11,N/A,N/A
KANGAROO CREEK,,,,,,,,
KANGAROO POINT,"$3,950,000",3.95%,N/A,6.79%,N/A,10,N/A,N/A
KANGAROO VALLEY,"$930,000",0.00%,-0.27%,8.43%,N/A,23,N/A,139.4
KANGY ANGY,,,,,,,,
KANWAL,"$500,000",4.17%,4.71%,5.92%,$390,66,4.06%,71.2380952380952
KAPOOKA,,,,,,,,
KARABAR,"$567,500",5.48%,8.10%,2.77%,$480,97,4.40%,71.0192307692308
KARANGI,"$590,000",-12.16%,N/A,N/A,N/A,11,N/A,N/A
KAREELA,"$1,155,000",2.08%,7.89%,6.01%,$720,37,3.24%,29.2857142857143
KARIONG,"$670,000",0.37%,1.40%,6.09%,$430,79,3.34%,38.8125
KARS SPRINGS,,,,,,,,
KARUAH,"$400,000",0.00%,2.83%,3.49%,$340,27,4.42%,74.3333333333333
KATOOMBA,"$595,000",1.97%,3.48%,6.51%,$415,167,3.63%,96.0810810810811
KEARNS,"$655,000",0.77%,2.54%,5.50%,$420,38,3.33%,37.1612903225807
KEARSLEY,"$373,500",3.75%,N/A,5.68%,N/A,16,N/A,N/A
KEINBAH,,,,,,,,
KEIRAVILLE,"$855,000",-0.58%,1.48%,6.34%,$580,24,3.53%,59.8823529411765
KEITH HALL,,,,,,,,
KELLYS PLAINS,,,,,,,,
KELLYVILLE,"$1,211,500",2.76%,10.14%,7.25%,$644,426,2.76%,55.2268041237113
KELLYVILLE RIDGE,"$995,000",2.58%,7.19%,6.66%,$610,109,3.19%,28.7936507936508
KELSO,"$482,000",0.42%,2.55%,4.64%,$400,206,4.32%,99.5608108108108
KELVIN,,,,,,,,
KEMBLA GRANGE,"$347,500",-3.34%,N/A,-34.75%,$470,81,7.03%,83.8571428571429
KEMBLA HEIGHTS,,,,,,,,
KEMPS CREEK,"$2,075,000",-17.00%,N/A,13.37%,$480,10,1.20%,N/A
KEMPSEY,"$210,000",N/A,N/A,34.15%,$265,10,6.56%,N/A
KENDALL,"$450,000",7.78%,-6.25%,6.08%,$354,14,4.09%,N/A
KENEBRI,,,,,,,,
KENSINGTON,"$2,680,000",3.42%,-1.65%,5.68%,$950,36,1.84%,N/A
KENTHURST,"$2,250,000",1.35%,1.35%,7.76%,$460,54,1.06%,97.0512820512821
KENTLYN,"$1,530,000",N/A,N/A,N/A,N/A,10,N/A,N/A
KENTUCKY,,,,,,,,
KENTUCKY SOUTH,,,,,,,,
KEW,"$595,000",8.68%,12.48%,2.67%,$400,19,3.50%,N/A
KHANCOBAN,"$158,750",N/A,-9.29%,-6.96%,N/A,10,N/A,N/A
KIAH,,,,,,,,
KIAMA,"$852,500",0.29%,4.60%,5.97%,$550,124,3.35%,66.6829268292683
KIAMA DOWNS,"$815,000",0.00%,-0.61%,5.26%,$540,67,3.45%,49.4090909090909
KIAMA HEIGHTS,"$870,000",-0.57%,-23.01%,6.76%,$570,23,3.41%,109.636363636364
KIANGA,"$502,500",6.91%,-6.07%,4.70%,N/A,14,N/A,85.8181818181818
KIELVALE,"$502,500",N/A,N/A,N/A,N/A,11,N/A,N/A
KIKOIRA,,,,,,,,
KILABEN BAY,"$592,500",-5.95%,-8.85%,5.35%,$380,20,3.34%,61.6428571428572
KILLABAKH,"$440,000",N/A,N/A,N/A,N/A,10,N/A,N/A
KILLARA,"$2,705,000",3.64%,4.89%,6.21%,"$1,100",88,2.11%,109.590909090909
KILLARNEY HEIGHTS,"$1,847,500",5.57%,14.22%,7.02%,$975,43,2.74%,39
KILLARNEY VALE,"$581,250",2.88%,1.09%,6.95%,$420,134,3.76%,58.2261904761905
KILLAWARRA,,,,,,,,
KILLCARE,"$1,775,000",13.42%,N/A,N/A,N/A,10,N/A,N/A
KILLCARE HEIGHTS,"$1,137,500",3.88%,3.41%,8.58%,N/A,19,N/A,67.0909090909091
KILLINGWORTH,"$530,000",0.24%,N/A,N/A,N/A,11,N/A,N/A
KIMBRIKI,,,,,,,,
KINCHELA,"$540,000",0.47%,N/A,N/A,N/A,10,N/A,N/A
KINCUMBER,"$671,250",-0.56%,-1.29%,6.37%,$490,100,3.80%,75.7924528301887
KINCUMBER SOUTH,"$787,500",N/A,N/A,N/A,N/A,11,N/A,N/A
KINDEE,,,,,,,,
KING CREEK,"$842,500",2.43%,7.32%,5.17%,N/A,30,N/A,72.5789473684211
KINGFISHER SHORES,,,,,,,,
KINGS LANGLEY,"$930,500",1.25%,6.22%,6.89%,$520,108,2.91%,31.7093023255814
KINGS PARK,"$720,000",1.05%,0.70%,6.30%,$440,50,3.18%,34.0540540540541
KINGS PLAINS,,,,,,,,
KINGS PLAINS,,,,,,,,
KINGS POINT,"$609,250",0.45%,12.82%,8.44%,N/A,10,N/A,N/A
KINGSCLIFF,"$1,125,000",2.27%,11.88%,5.58%,$640,111,2.96%,79.7647058823529
KINGSDALE,,,,,,,,
KINGSDENE,,,,,,,,
KINGSFORD,"$2,100,000",1.20%,5.00%,6.71%,$800,82,1.98%,66.9565217391304
KINGSGROVE,"$1,212,500",3.63%,11.24%,6.87%,$600,109,2.57%,54.188679245283
KINGSTOWN,,,,,,,,
KINGSVALE,,,,,,,,
KINGSWAY WEST,,,,,,,,
KINGSWOOD,"$550,000",0.00%,5.77%,2.37%,N/A,15,N/A,102
KINGSWOOD,,,,,,,,
KINGSWOOD,"$646,500",5.55%,-0.35%,7.48%,$370,64,2.98%,47.6739130434783
KIOLOA,"$545,000",-12.10%,-13.83%,9.66%,"$1,050",14,10.02%,N/A
KIORA,,,,,,,,
KIRKHAM,"$1,580,000",N/A,-6.51%,7.47%,N/A,11,N/A,N/A
KIRRAWEE,"$1,110,000",0.91%,5.71%,6.48%,$590,93,2.76%,56.3809523809524
KIRRIBILLI,"$2,600,000",0.00%,N/A,23.44%,$980,10,1.96%,N/A
KITCHENER,"$320,000",5.79%,N/A,N/A,N/A,13,N/A,N/A
KNOCKROW,,,,,,,,
KNORRIT FLAT,,,,,,,,
KOGARAH,"$1,175,000",5.10%,11.37%,6.98%,$583,31,2.58%,N/A
KOGARAH BAY,"$1,650,000",1.98%,-8.33%,7.11%,$550,23,1.73%,N/A
KOOLEWONG,"$666,250",2.66%,N/A,8.57%,$420,20,3.28%,68.3846153846154
KOONAWARRA,"$470,000",3.87%,-6.00%,6.22%,$430,35,4.76%,56.4230769230769
KOONORIGAN,,,,,,,,
KOORAGANG,,,,,,,,
KOORAINGHAT,,,,,,,,
KOORAWATHA,"$135,000",N/A,-31.65%,11.93%,N/A,11,N/A,N/A
KOORINGAL,"$335,000",0.30%,4.04%,2.62%,$330,159,5.12%,92.9133858267717
KOOTINGAL,"$277,500",-2.63%,-12.60%,1.18%,$320,33,6.00%,115.95652173913
KORALEIGH,"$141,250",N/A,N/A,N/A,N/A,10,N/A,N/A
KOREELAH,,,,,,,,
KORORA,"$680,000",-2.86%,0.00%,5.01%,$503,57,3.84%,153.161290322581
KOTARA,"$603,750",1.90%,-1.02%,5.08%,$480,69,4.13%,67.38
KOTARA EAST,,,,,,,,
KOTARA FAIR,,,,,,,,
KOTARA SOUTH,"$618,000",0.00%,-0.32%,6.20%,$460,27,3.87%,58.5
KRAMBACH,"$320,000",0.00%,-18.58%,-18.58%,N/A,11,N/A,N/A
KREMNOS,,,,,,,,
KULNURA,"$1,220,000",N/A,N/A,N/A,N/A,10,N/A,N/A
KUNAMA,,,,,,,,
KUNDABUNG,"$450,000",N/A,N/A,-13.23%,N/A,10,N/A,N/A
KUNDIBAKH,,,,,,,,
KUNDLE KUNDLE,"$515,000",N/A,N/A,N/A,N/A,10,N/A,N/A
KUNGALA,,,,,,,,
KUNGHUR,,,,,,,,
KURMOND,"$685,000",-6.80%,-29.74%,3.81%,$520,11,3.95%,N/A
KURNELL,"$1,131,000",-1.65%,1.43%,8.02%,$588,30,2.70%,N/A
KURRAJONG,"$950,000",1.88%,5.56%,5.71%,$550,38,3.01%,120.809523809524
KURRAJONG HEIGHTS,"$660,000",0.00%,-7.04%,3.71%,$450,32,3.55%,94.9166666666667
KURRAJONG HILLS,"$1,317,500",N/A,N/A,N/A,N/A,10,N/A,N/A
KURRI KURRI,"$350,000",-1.41%,0.72%,5.12%,$330,102,4.90%,70.8225806451613
KYALITE,,,,,,,,
KYEEMAGH,"$1,215,000",-1.22%,-19.00%,5.23%,$670,11,2.87%,N/A
KYLE BAY,"$1,820,000",-7.14%,2.54%,7.55%,N/A,17,N/A,N/A
KYNNUMBOON,,,,,,,,
KYOGLE,"$292,000",0.69%,10.19%,1.97%,$315,51,5.61%,120.76
LA PEROUSE,,,,,,,,
LACMALAC,,,,,,,,
LADYSMITH,"$260,000",N/A,N/A,N/A,N/A,10,N/A,N/A
LAGGAN,"$560,000",4.48%,N/A,N/A,N/A,10,N/A,N/A
LAGUNA,"$688,000",-1.71%,N/A,N/A,N/A,12,N/A,N/A
LAKE ALBERT,"$417,500",4.38%,12.23%,3.22%,$350,106,4.36%,89.1392405063291
LAKE BATHURST,,,,,,,,
LAKE CARGELLIGO,"$142,500",1.79%,-8.06%,-7.88%,N/A,20,N/A,N/A
LAKE CATHIE,"$580,000",-1.69%,0.04%,4.30%,$450,55,4.03%,120.871794871795
LAKE CONJOLA,"$574,500",-0.86%,N/A,16.58%,N/A,22,N/A,121.928571428571
LAKE HAVEN,"$525,000",0.96%,2.44%,5.78%,$380,64,3.76%,85.4782608695652
LAKE HEIGHTS,"$550,000",0.00%,0.00%,6.94%,$433,53,4.09%,79.3103448275862
LAKE HUME VILLAGE,,,,,,,,
LAKE ILLAWARRA,"$516,000",-1.71%,-3.55%,6.52%,$430,41,4.33%,70.1428571428571
LAKE INNES,"$605,000",-19.28%,N/A,N/A,N/A,11,N/A,N/A
LAKE MUNMORAH,"$512,500",0.49%,0.20%,5.78%,$380,85,3.86%,89.9122807017544
LAKE TABOURIE,"$487,000",-0.81%,-1.02%,6.04%,$370,15,3.95%,140.714285714286
LAKE WYANGAN,"$649,250",N/A,N/A,N/A,N/A,10,N/A,N/A
LAKELANDS,"$760,000",-1.94%,-5.00%,4.23%,N/A,22,N/A,56.3571428571429
LAKEMBA,"$895,000",2.40%,7.19%,7.43%,$500,18,2.91%,N/A
LAKESLAND,"$1,334,000",N/A,N/A,N/A,N/A,10,N/A,N/A
LAKEWOOD,"$515,000",-5.68%,9.34%,4.23%,$430,33,4.34%,85.65
LALALTY,,,,,,,,
LALOR PARK,"$655,250",0.81%,4.01%,7.38%,$380,100,3.02%,35.463768115942
LAMBS VALLEY,"$918,500",N/A,N/A,N/A,N/A,10,N/A,N/A
LAMBS VALLEY,,,,,,,,
LAMBTON,"$703,500",6.59%,6.19%,5.96%,$450,83,3.33%,49.4107142857143
LANE COVE,"$2,250,000",1.12%,9.76%,6.34%,$925,66,2.14%,26.8636363636364
LANE COVE NORTH,"$2,000,000",0.00%,11.11%,7.74%,$820,50,2.13%,25.3636363636364
LANE COVE WEST,"$2,165,000",8.30%,20.18%,9.46%,$850,35,2.04%,N/A
LANGLEY VALE,,,,,,,,
LANITZA,,,,,,,,
LANSDOWNE,"$240,000",-23.81%,N/A,13.80%,N/A,13,N/A,N/A
LANSDOWNE,,,,,,,,
LANSVALE,"$750,000",6.38%,12.99%,7.35%,$500,22,3.47%,106.636363636364
LAPSTONE,"$820,000",3.14%,N/A,7.14%,N/A,10,N/A,N/A
LARGS,"$607,500",2.97%,8.48%,10.06%,$450,22,3.85%,87
LARNOOK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LARRAS LEE,,,,,,,,
LAUGHTONDALE,,,,,,,,
LAUREL HILL,,,,,,,,
LAURIETON,"$475,500",-2.96%,-14.32%,3.78%,$360,40,3.94%,92.5
LAVENDER BAY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LAVINGTON,"$278,500",-2.26%,1.27%,1.75%,$305,205,5.69%,89.6269841269841
LAVINGTON DC,,,,,,,,
LAWRENCE,"$405,000",0.00%,8.72%,5.82%,N/A,23,N/A,105.733333333333
LAWSON,"$585,000",0.00%,4.46%,6.77%,$440,47,3.91%,72.6060606060606
LEADVILLE,,,,,,,,
LEETON,"$262,000",0.38%,-4.12%,2.40%,$310,142,6.15%,117.9
LEEVILLE,,,,,,,,
LEGUME,"$361,000",N/A,N/A,N/A,N/A,10,N/A,N/A
LEICHHARDT,"$1,520,000",6.67%,20.63%,7.91%,$750,179,2.57%,62.6666666666667
LEMON TREE,,,,,,,,
LEMON TREE PASSAGE,"$456,000",1.11%,-1.63%,6.01%,$385,52,4.39%,96.8372093023256
